code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,win,cumulative,peak,drawdown,pnl_bin,month
sz.000568,2025-06-23,2025-09-29,107.577,127.41,18.44,98,1,0.562081542358007,0.9777,-42.50981463045853,>10%,2025-09
sz.000333,2025-08-27,2025-10-14,73.428,71.55,-2.56,48,0,0.547692254873642,0.9777,-43.98156337591879,-5%~-2%,2025-10
sh.600196,2025-06-03,2025-10-15,24.512,28.24,15.21,134,1,0.630996246839923,0.9777,-35.46115916539604,>10%,2025-10
sh.600276,2025-03-28,2025-10-15,48.02,63.939,33.15,201,1,0.8401715026673573,0.9777,-14.066533428724837,>10%,2025-10
sz.300059,2025-05-13,2025-10-15,21.791,25.224,15.75,155,1,0.972498514337466,0.9777,-0.5320124437490005,>10%,2025-10
sh.603259,2025-04-30,2025-10-15,58.376,94.594,62.04,168,1,1.57583659263243,1.57583659263243,0.0,>10%,2025-10
sz.300750,2025-08-25,2025-10-15,285.523,352.965,23.62,51,1,1.94804919581221,1.94804919581221,0.0,>10%,2025-10
sz.000002,2025-08-26,2025-10-16,6.98,6.47,-7.31,51,0,1.8056467995983374,1.94804919581221,-7.309999999999999,-10%~-5%,2025-10
sh.600330,2025-05-07,2025-10-17,6.84,10.38,51.76,163,1,2.7402495830704368,2.7402495830704368,0.0,>10%,2025-10
sh.603160,2025-10-10,2025-10-20,83.489,76.405,-8.49,10,0,2.507602393467757,2.7402495830704368,-8.489999999999991,-10%~-5%,2025-10
sz.300760,2025-07-25,2025-10-20,226.845,223.267,-1.58,87,0,2.467982275650966,2.7402495830704368,-9.935857999999998,-2%~0%,2025-10
sh.600690,2025-08-27,2025-10-20,25.997,25.007,-3.81,54,0,2.3739521509486643,2.7402495830704368,-13.367301810199999,-5%~-2%,2025-10
sh.600703,2025-07-01,2025-10-20,12.4,14.16,14.19,111,1,2.7108159611682794,2.7402495830704368,-1.0741219370673942,>10%,2025-10
sh.600547,2025-08-06,2025-10-23,31.604,36.41,15.21,78,1,3.1231310688619742,3.1231310688619742,0.0,>10%,2025-10
sz.000063,2025-07-02,2025-11-03,32.5,43.13,32.71,124,1,4.144707241486726,4.144707241486726,0.0,>10%,2025-11
sh.600010,2025-10-10,2025-11-03,2.56,2.75,7.42,24,1,4.452244518805041,4.452244518805041,0.0,5%~10%,2025-11
sz.300124,2025-07-21,2025-11-04,65.158,73.999,13.57,106,1,5.056414100006885,5.056414100006885,0.0,>10%,2025-11
sz.000630,2025-06-12,2025-11-05,3.122,4.871,56.02,146,1,7.8890172788307416,7.8890172788307416,0.0,>10%,2025-11
sh.600584,2025-06-30,2025-11-06,33.756,39.27,16.33,129,1,9.177293800463802,9.177293800463802,0.0,>10%,2025-11
sh.600031,2025-07-08,2025-11-12,18.152,20.91,15.19,127,1,10.571324728754254,10.571324728754254,0.0,>10%,2025-11
sz.002230,2025-09-26,2025-11-13,55.8,50.54,-9.43,48,0,9.574448806832727,10.571324728754254,-9.430000000000007,-10%~-5%,2025-11
sz.002415,2025-10-10,2025-11-18,33.021,29.766,-9.86,39,0,8.63040815447902,10.571324728754254,-18.360202,-10%~-5%,2025-11
sz.000725,2025-08-25,2025-11-18,4.21,3.96,-5.94,85,0,8.117761910102967,10.571324728754254,-23.2096060012,-10%~-5%,2025-11
sh.600030,2025-09-30,2025-11-19,29.968,27.929,-6.8,50,0,7.5657541002159645,10.571324728754254,-28.431352793118407,-10%~-5%,2025-11
sz.002410,2025-10-16,2025-11-20,14.118,13.197,-6.52,35,0,7.072466932881883,10.571324728754254,-33.09762859100709,-10%~-5%,2025-11
sh.603178,2025-07-04,2025-11-20,19.11,19.06,-0.26,139,0,7.05407851885639,10.571324728754254,-33.271574756670475,-2%~0%,2025-11
sz.000899,2025-10-13,2025-11-20,9.69,10.16,4.85,38,1,7.3962013270209255,10.571324728754254,-30.035246132368986,2%~5%,2025-11
sh.600310,2025-10-24,2025-11-21,4.027,3.888,-3.46,28,0,7.140292761106002,10.571324728754254,-32.456026616189014,-5%~-2%,2025-11
sh.603986,2025-06-25,2025-11-21,124.447,188.725,51.65,149,1,10.82825397221725,10.82825397221725,0.0,>10%,2025-11
sh.600406,2025-09-16,2025-11-21,22.282,22.61,1.47,66,1,10.987429305608844,10.987429305608844,0.0,0%~2%,2025-11
sz.001896,2025-10-10,2025-11-24,5.65,5.46,-3.36,45,0,10.618251680940388,10.987429305608844,-3.3599999999999905,-5%~-2%,2025-11
sh.600085,2025-11-12,2025-11-24,34.44,33.75,-2.0,12,0,10.40588664732158,10.987429305608844,-5.292799999999988,-5%~-2%,2025-11
sz.002371,2025-06-24,2025-11-24,322.914,389.85,20.73,153,1,12.563026949311345,12.563026949311345,0.0,>10%,2025-11
sh.600763,2025-11-11,2025-11-24,44.23,42.15,-4.7,13,0,11.972564682693712,12.563026949311345,-4.700000000000001,-5%~-2%,2025-11
sh.600588,2025-10-10,2025-11-24,16.05,14.09,-12.21,45,0,10.51071453493681,12.563026949311345,-16.336129999999997,<-10%,2025-11
sh.601012,2025-07-03,2025-11-24,15.56,19.02,22.24,144,1,12.848297447506756,12.848297447506756,0.0,>10%,2025-11
sz.002304,2025-10-17,2025-11-24,70.46,66.99,-4.92,38,0,12.216161213089423,12.848297447506756,-4.920000000000002,-5%~-2%,2025-11
sz.002460,2025-05-15,2025-11-25,31.859,59.02,85.26,194,1,22.631660263369465,22.631660263369465,0.0,>10%,2025-11
sh.600019,2025-10-13,2025-11-25,7.13,7.19,0.84,43,1,22.821766209581767,22.821766209581767,0.0,0%~2%,2025-11
sh.601288,2025-10-15,2025-11-27,6.865,7.676,11.81,43,1,25.517016798933376,25.517016798933376,0.0,>10%,2025-11
sh.600028,2025-10-23,2025-11-27,5.5,5.73,4.18,35,1,26.58362810112879,26.58362810112879,0.0,2%~5%,2025-11
sh.600585,2025-10-13,2025-11-28,23.6,22.59,-4.28,46,0,25.44584881840048,26.58362810112879,-4.279999999999992,-5%~-2%,2025-11
sz.000538,2025-07-25,2025-12-03,54.472,53.778,-1.27,131,0,25.122686538406793,26.58362810112879,-5.495644000000001,-2%~0%,2025-12
sh.600809,2025-11-11,2025-12-05,197.5,181.0,-8.35,24,0,23.024942212449826,26.58362810112879,-13.386757726,-10%~-5%,2025-12
sz.000568,2025-10-17,2025-12-05,135.055,126.282,-6.5,49,0,21.52832096864059,26.58362810112879,-19.01661847380999,-10%~-5%,2025-12
sh.600809,2025-11-11,2025-12-05,197.5,181.0,-8.35,24,0,19.7307061677591,26.58362810112879,-25.778730831246865,-10%~-5%,2025-12
sz.000568,2025-10-17,2025-12-05,135.055,126.282,-6.5,49,0,18.44821026685476,26.58362810112879,-30.603113327215816,-10%~-5%,2025-12
sz.002142,2025-10-24,2025-12-09,27.554,27.901,1.26,46,1,18.680657716217127,26.58362810112879,-29.728712555138735,0%~2%,2025-12
sh.600519,2025-10-17,2025-12-09,1458.267,1394.483,-4.37,53,0,17.86431297401844,26.58362810112879,-32.799567816479176,-5%~-2%,2025-12
sh.600519,2025-10-17,2025-12-09,1458.267,1394.483,-4.37,53,0,17.083642497053834,26.58362810112879,-35.73622670289903,-5%~-2%,2025-12
sz.300122,2025-11-05,2025-12-10,21.0,19.76,-5.9,35,0,16.075707589727656,26.58362810112879,-39.52778932742799,-10%~-5%,2025-12
sh.600036,2025-10-22,2025-12-11,40.923,40.806,-0.29,50,0,16.029088037717447,26.58362810112879,-39.70315873837845,-2%~0%,2025-12
sz.000001,2025-10-24,2025-12-11,11.6,11.35,-2.16,48,0,15.68285973610275,26.58362810112879,-41.00557050962947,-5%~-2%,2025-12
sh.600036,2025-10-22,2025-12-11,40.923,40.806,-0.29,50,0,15.637379442868053,26.58362810112879,-41.17665435515155,-2%~0%,2025-12
sh.600016,2025-10-24,2025-12-11,4.15,3.93,-5.3,48,0,14.808598332396045,26.58362810112879,-44.29429167432852,-10%~-5%,2025-12
sh.601166,2025-11-05,2025-12-11,20.646,19.781,-4.19,36,0,14.18811806226865,26.58362810112879,-46.62836085317416,-5%~-2%,2025-12
sh.600036,2025-10-22,2025-12-11,40.923,40.806,-0.29,50,0,14.14697251988807,26.58362810112879,-46.78313860669995,-2%~0%,2025-12
sh.601939,2025-10-17,2025-12-12,8.99,8.95,-0.45,56,0,14.083311143548574,26.58362810112879,-47.02261448296981,-2%~0%,2025-12
sz.000063,2025-11-28,2025-12-12,42.32,36.9,-12.81,14,0,12.279238986060001,26.58362810112879,-53.809017567701375,<-10%,2025-12
sh.601857,2025-10-21,2025-12-16,8.62,9.47,9.86,56,1,13.489971950085517,26.58362810112879,-49.25458669987673,5%~10%,2025-12
sh.600196,2025-12-11,2025-12-17,28.32,26.69,-5.76,6,0,12.71294956576059,26.58362810112879,-52.177522505963836,-10%~-5%,2025-12
sh.603160,2025-10-28,2025-12-17,85.335,76.041,-10.89,50,0,11.328509358049262,26.58362810112879,-57.38539030506438,<-10%,2025-12
sh.600330,2025-12-09,2025-12-17,10.28,10.35,0.68,8,1,11.405543221683995,26.58362810112879,-57.095610959138824,0%~2%,2025-12
sh.601888,2025-07-11,2025-12-19,61.725,76.5,23.94,161,1,14.136030268955144,26.58362810112879,-46.82430022275665,>10%,2025-12
sh.600900,2025-10-15,2025-12-23,27.758,27.282,-1.72,69,0,13.892890548329117,26.58362810112879,-47.73892225892523,-2%~0%,2025-12
sz.300760,2025-12-01,2026-01-05,201.933,188.531,-6.64,35,0,12.970402615920063,26.58362810112879,-51.20905782093259,-10%~-5%,2026-01
sh.600690,2025-11-03,2026-01-05,26.611,26.4,-0.79,63,0,12.867936435254295,26.58362810112879,-51.59450626414722,-2%~0%,2026-01
sh.600887,2025-11-11,2026-01-09,26.869,26.288,-2.16,59,0,12.589989008252802,26.58362810112879,-52.640064928841646,-5%~-2%,2026-01
sh.600030,2025-12-09,2026-01-09,28.226,28.246,0.07,31,1,12.598802000558578,26.58362810112879,-52.606912974291845,0%~2%,2026-01
sh.601398,2025-10-17,2026-01-09,7.326,7.515,2.59,84,1,12.925110972373046,26.58362810112879,-51.379432020326,2%~5%,2026-01
sh.601318,2025-10-16,2026-01-13,56.747,67.8,19.48,89,1,15.442922589791317,26.58362810112879,-41.90814537788549,>10%,2026-01
sz.000333,2025-11-03,2026-01-14,75.913,76.2,0.38,72,1,15.501605695632525,26.58362810112879,-41.687396330321455,0%~2%,2026-01
sh.600104,2025-12-15,2026-01-16,15.6,15.3,-1.92,32,0,15.203974866276381,26.58362810112879,-42.806998320779286,-2%~0%,2026-01
sh.601166,2025-12-30,2026-01-16,20.733,19.82,-4.4,17,0,14.53499997216022,26.58362810112879,-45.323490394664994,-5%~-2%,2026-01
sz.300122,2026-01-12,2026-01-19,19.67,18.77,-4.58,7,0,13.869296973435283,26.58362810112879,-47.827674534589335,-5%~-2%,2026-01
sh.600010,2026-01-07,2026-01-20,2.56,2.33,-8.98,13,0,12.623834105220794,26.58362810112879,-52.512749361383214,-10%~-5%,2026-01
sh.600588,2026-01-06,2026-01-20,13.6,15.8,16.18,14,1,14.666370463445519,26.58362810112879,-44.82931220805501,>10%,2026-01
sh.600330,2025-12-29,2026-01-21,13.76,11.21,-18.53,23,0,11.948692016569064,26.58362810112879,-55.05244065590242,<-10%,2026-01
sh.601012,2025-12-29,2026-01-21,19.03,17.31,-9.04,23,0,10.86853025827122,26.58362810112879,-59.115700020608855,-10%~-5%,2026-01
sh.600519,2026-01-06,2026-01-22,1432.55,1352.01,-5.62,16,0,10.257718857756377,26.58362810112879,-61.41339767945063,-10%~-5%,2026-01
sh.600519,2026-01-06,2026-01-22,1432.55,1352.01,-5.62,16,0,9.681235057950468,26.58362810112879,-63.58196472986549,-10%~-5%,2026-01
sh.600276,2026-01-06,2026-01-22,63.102,60.115,-4.73,16,0,9.22331263970941,26.58362810112879,-65.30453779814287,-5%~-2%,2026-01
sz.300760,2026-01-07,2026-01-23,201.805,192.777,-4.47,16,0,8.8110305647144,26.58362810112879,-66.85542495856588,-5%~-2%,2026-01
sh.601939,2025-12-30,2026-01-23,9.25,8.7,-5.95,24,0,8.286774246113893,26.58362810112879,-68.82752717353121,-10%~-5%,2026-01
sz.002304,2026-01-07,2026-01-27,62.75,55.98,-10.79,20,0,7.392631304958204,26.58362810112879,-72.19103699150719,<-10%,2026-01
sh.603178,2025-12-26,2026-01-28,18.97,17.76,-6.38,33,0,6.920981427701871,26.58362810112879,-73.96524883144903,-10%~-5%,2026-01
sz.000651,2025-11-13,2026-01-29,40.143,38.27,-4.66,77,0,6.598463693170964,26.58362810112879,-75.17846823590352,-5%~-2%,2026-01
sz.300015,2026-01-13,2026-01-29,11.58,11.03,-4.75,16,0,6.285036667745343,26.58362810112879,-76.3574909946981,-5%~-2%,2026-01
sz.000538,2025-12-26,2026-01-29,55.118,53.953,-2.11,34,0,6.152422394055916,26.58362810112879,-76.85634793470997,-5%~-2%,2026-01
sz.300059,2026-01-06,2026-01-29,23.562,22.548,-4.31,23,0,5.887252988872106,26.58362810112879,-77.85383933872396,-5%~-2%,2026-01
sh.600196,2026-01-09,2026-01-29,27.45,26.87,-2.11,20,0,5.763031950806905,26.58362810112879,-78.32112332867689,-5%~-2%,2026-01
sz.002410,2026-01-07,2026-02-02,12.619,13.511,7.07,26,1,6.170478309728953,26.58362810112879,-76.78842674801434,5%~10%,2026-02
sz.000063,2026-01-12,2026-02-03,40.32,37.48,-7.04,22,0,5.736076636724034,26.58362810112879,-78.42252150495415,-10%~-5%,2026-02
sh.600570,2026-01-06,2026-02-03,30.583,30.216,-1.2,28,0,5.667243717083346,26.58362810112879,-78.68145124689468,-2%~0%,2026-02
sh.603160,2026-01-13,2026-02-03,82.452,76.906,-6.73,21,0,5.285838214923636,26.58362810112879,-80.11618957797867,-10%~-5%,2026-02
sh.600547,2025-12-23,2026-02-03,38.93,45.5,16.88,42,1,6.178087705602747,26.58362810112879,-76.75980237874148,>10%,2026-02
sh.600031,2026-01-07,2026-02-03,21.88,21.45,-1.97,27,0,6.056379377802372,26.58362810112879,-77.21763427188026,-2%~0%,2026-02
sh.601899,2025-08-08,2026-02-03,20.204,37.84,87.29,179,1,11.342992936686063,26.58362810112879,-57.33090722780455,>10%,2026-02
