2026-05-21 14:44:55,257 [INFO] paper-strat: 📊 TICK 002428.SZSE 云南锗业 84.76 (-6.86%)
2026-05-21 14:44:55,257 [INFO] paper-strat: 📊 TICK 600021.SSE 上海电力 17.99 (-3.69%)
2026-05-21 14:44:55,258 [INFO] paper-strat: 📊 TICK 603986.SSE 兆易创新 432.65 (-2.78%)
2026-05-21 14:44:56,499 [INFO] paper-strat:    获得 22 只均量
2026-05-21 14:44:56,500 [INFO] paper-strat:    样本: [('600330', 161505312.0), ('002453', 30430770.8), ('603601', 209585470.0)]
2026-05-21 14:44:56,505 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600330', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,506 [INFO] paper-strat: [AKSHARE] 订阅 600330.SSE (累计 22 只)
2026-05-21 14:44:56,511 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002453', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,511 [INFO] paper-strat: [AKSHARE] 订阅 002453.SZSE (累计 22 只)
2026-05-21 14:44:56,515 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603601', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,515 [INFO] paper-strat: [AKSHARE] 订阅 603601.SSE (累计 22 只)
2026-05-21 14:44:56,520 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,521 [INFO] paper-strat: [AKSHARE] 订阅 002428.SZSE (累计 22 只)
2026-05-21 14:44:56,524 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,526 [INFO] paper-strat: [AKSHARE] 订阅 600130.SSE (累计 22 只)
2026-05-21 14:44:56,528 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
