code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh600310,2025-10-13 10:30:00,2025-10-13 14:00:00,3.9,3.88,-0.51,0,0,-2~0%,2025-10
sh600310,2025-10-21 14:00:00,2025-10-24 15:00:00,3.99,3.97,-0.5,3,0,-2~0%,2025-10
sh600310,2025-11-05 14:00:00,2025-11-18 11:30:00,4.03,4.04,0.25,12,1,0~2%,2025-11
sh600310,2025-12-19 14:00:00,2025-12-30 15:00:00,3.79,3.83,1.06,11,1,0~2%,2025-12
sh600310,2026-01-13 15:00:00,2026-01-27 11:30:00,3.91,3.87,-1.02,13,0,-2~0%,2026-01
sh600310,2026-02-05 10:30:00,2026-02-13 15:00:00,3.97,3.88,-2.27,8,0,-5~-2%,2026-02
sh600310,2026-02-24 11:30:00,2026-03-16 11:30:00,3.95,4.24,7.34,20,1,5~10%,2026-03
sh600310,2026-03-20 11:30:00,2026-04-01 11:30:00,4.69,5.71,21.75,12,1,>10%,2026-04
sh600310,2026-04-13 15:00:00,2026-05-15 10:30:00,4.58,5.12,11.79,31,1,>10%,2026-05
sh600310,2026-05-19 11:30:00,2026-05-20 14:00:00,5.62,5.19,-7.65,1,0,-10~-5%,2026-05
sh600310,2026-05-25 14:00:00,2026-06-05 11:30:00,5.61,5.72,1.96,10,1,0~2%,2026-06
sh600130,2025-07-01 10:30:00,2025-07-09 14:00:00,3.43,3.3,-3.79,8,0,-5~-2%,2025-07
sh600130,2025-07-16 11:30:00,2025-07-25 14:00:00,3.39,3.33,-1.77,9,0,-2~0%,2025-07
sh600130,2025-08-05 11:30:00,2025-08-15 10:30:00,3.38,3.35,-0.89,9,0,-2~0%,2025-08
sh600130,2025-08-18 11:30:00,2025-09-15 14:00:00,3.49,3.89,11.46,28,1,>10%,2025-09
sh600130,2025-09-26 14:00:00,2025-10-13 11:30:00,3.8,3.78,-0.53,16,0,-2~0%,2025-10
sh600130,2025-10-21 11:30:00,2025-10-29 15:00:00,3.98,3.87,-2.76,8,0,-5~-2%,2025-10
sh600130,2025-11-11 11:30:00,2025-11-21 11:30:00,4.22,4.12,-2.37,10,0,-5~-2%,2025-11
sh600130,2025-12-08 15:00:00,2025-12-15 10:30:00,4.11,3.93,-4.38,6,0,-5~-2%,2025-12
sh600130,2025-12-22 11:30:00,2026-01-28 11:30:00,4.02,4.21,4.73,37,1,2~5%,2026-01
sh600130,2026-02-24 11:30:00,2026-03-18 10:30:00,4.39,4.49,2.28,21,1,2~5%,2026-03
sh600130,2026-03-25 11:30:00,2026-04-03 11:30:00,4.33,4.2,-3.0,9,0,-5~-2%,2026-04
sh600130,2026-04-09 10:30:00,2026-04-23 14:00:00,4.32,4.52,4.63,14,1,2~5%,2026-04
sh600130,2026-04-24 14:00:00,2026-04-30 10:30:00,4.77,4.65,-2.52,5,0,-5~-2%,2026-04
sh600130,2026-05-06 11:30:00,2026-05-15 10:30:00,5.08,5.85,15.16,8,1,>10%,2026-05
sz001896,2025-06-26 11:30:00,2025-07-18 14:00:00,4.52,6.25,38.27,22,1,>10%,2025-07
sz001896,2025-08-08 11:30:00,2025-08-14 11:30:00,5.7,5.51,-3.33,6,0,-5~-2%,2025-08
sz001896,2025-08-19 14:00:00,2025-08-28 14:00:00,5.61,5.59,-0.36,9,0,-2~0%,2025-08
sz001896,2025-09-08 11:30:00,2025-09-16 11:30:00,5.58,5.32,-4.66,8,0,-5~-2%,2025-09
sz001896,2025-09-30 11:30:00,2025-10-20 10:30:00,5.3,5.82,9.81,19,1,5~10%,2025-10
sz001896,2025-10-21 11:30:00,2025-10-29 11:30:00,6.05,6.06,0.17,8,1,0~2%,2025-10
sz001896,2025-11-18 10:30:00,2025-11-19 11:30:00,6.11,5.81,-4.91,1,0,-5~-2%,2025-11
sz001896,2026-01-08 11:30:00,2026-01-30 11:30:00,5.45,6.11,12.11,22,1,>10%,2026-01
sz001896,2026-02-06 11:30:00,2026-03-16 10:30:00,6.46,15.0,132.2,37,1,,2026-03
sz001896,2026-03-23 11:30:00,2026-03-26 11:30:00,16.4,15.05,-8.23,3,0,-10~-5%,2026-03
sz001896,2026-04-13 11:30:00,2026-04-28 10:30:00,14.07,16.09,14.36,14,1,>10%,2026-04
sz001896,2026-05-12 11:30:00,2026-05-15 11:30:00,17.23,15.21,-11.72,3,0,<-10%,2026-05
sz001896,2026-05-25 14:00:00,2026-05-27 15:00:00,17.02,15.39,-9.58,2,0,-10~-5%,2026-05
sz001896,2026-06-01 15:00:00,2026-06-08 10:30:00,17.43,19.87,14.0,6,1,>10%,2026-06
sh603178,2025-06-24 14:00:00,2025-07-15 11:30:00,18.14,18.16,0.11,20,1,0~2%,2025-07
