没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:57.596 | INFO | CtaStrategy | [thr_002428]  策略初始化: 002428.SZSE
2026-05-21 10:05:57.596 | INFO | CtaStrategy | [thr_002428]    规则: buy_zone=86.0 buy_strong=82.3 trend_break=75.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.597 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002428', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.598 | INFO | AKSHARE | 订阅 002428.SZSE (累计 23 只)
2026-05-21 10:05:57.599 | INFO | CtaStrategy | thr_002428初始化完成
2026-05-21 10:05:57.600 | INFO | CtaStrategy | thr_600130开始执行初始化
2026-05-21 10:05:57.600 | INFO | CtaStrategy | [thr_600130]  策略初始化: 600130.SSE
2026-05-21 10:05:57.601 | INFO | CtaStrategy | [thr_600130]    规则: buy_zone=5.8 buy_strong=5.5 trend_break=5.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.601 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600130', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.603 | INFO | AKSHARE | 订阅 600130.SSE (累计 23 只)
2026-05-21 10:05:57.604 | INFO | CtaStrategy | thr_600130初始化完成
2026-05-21 10:05:57.605 | INFO | CtaStrategy | thr_603178开始执行初始化
2026-05-21 10:05:57.605 | INFO | CtaStrategy | [thr_603178]  策略初始化: 603178.SSE
2026-05-21 10:05:57.607 | INFO | CtaStrategy | [thr_603178]    规则: buy_zone=21.0 buy_strong=20.0 trend_break=18.5 take_profit=0.0 auto=False
2026-05-21 10:05:57.608 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603178', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.609 | INFO | AKSHARE | 订阅 603178.SSE (累计 23 只)
2026-05-21 10:05:57.611 | INFO | CtaStrategy | thr_603178初始化完成
2026-05-21 10:05:57.612 | INFO | CtaStrategy | thr_603986开始执行初始化
2026-05-21 10:05:57.612 | INFO | CtaStrategy | [thr_603986]  策略初始化: 603986.SSE
2026-05-21 10:05:57.613 | INFO | CtaStrategy | [thr_603986]    规则: buy_zone=400.0 buy_strong=375.0 trend_break=340.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.613 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.615 | INFO | AKSHARE | 订阅 603986.SSE (累计 23 只)
2026-05-21 10:05:57.616 | INFO | CtaStrategy | thr_603986初始化完成
2026-05-21 10:05:57.617 | INFO | CtaStrategy | thr_301120开始执行初始化
2026-05-21 10:05:57.617 | INFO | CtaStrategy | [thr_301120]  策略初始化: 301120.SZSE
2026-05-21 10:05:57.619 | INFO | CtaStrategy | [thr_301120]    规则: buy_zone=22.0 buy_strong=19.0 trend_break=17.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.619 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.621 | INFO | AKSHARE | 订阅 301120.SZSE (累计 23 只)
2026-05-21 10:05:57.622 | INFO | CtaStrategy | thr_301120初始化完成
2026-05-21 10:05:57.623 | INFO | CtaStrategy | thr_301179开始执行初始化
